x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.497751, 0.0241953, 0.0502611, 0.00750036, -0.00142862, -0.0025837, 0.00806051, 1001.96, 15013.8
-0.498988, 0.0252978, 0.0995153, 0.00267063, 0.00236137, -0.00977352, 0.0104034, 999.18, 14073.3
-0.49903, 0.0251583, 0.148241, 0.00370373, 0.000353947, -0.016542, 0.0169552, 1001.48, 13827.9
-0.49914, 0.0251263, 0.19748, 0.002743, 0.000148345, -0.0202583, 0.0204437, 1000.6, 13274.2
-0.499285, 0.0251441, 0.246839, 0.0023668, 6.7497e-05, -0.0240794, 0.0241955, 1000.83, 12817
-0.499381, 0.0251259, 0.296401, 0.00178778, -0.000128742, -0.0262534, 0.0263145, 1000.76, 12334.8
-0.499531, 0.0251451, 0.346133, 0.00161681, -0.000333793, -0.0276047, 0.027654, 1000.73, 11851.5
-0.499657, 0.0251429, 0.396071, 0.00103035, -0.00028012, -0.0296324, 0.0296516, 1000.67, 11362.8
-0.499827, 0.0251752, 0.446206, 0.000589928, -0.000425042, -0.0281939, 0.0282033, 1000.68, 10882.6
-0.499986, 0.0251906, 0.496556, 0.000275229, -0.000635629, -0.0286255, 0.0286338, 1000.64, 10386.7
-0.500194, 0.0252383, 0.547152, 4.65411e-06, -0.000733677, -0.0270018, 0.0270118, 1000.52, 9878.42
-0.500379, 0.0252445, 0.598031, -0.000502799, -0.000640787, -0.0252718, 0.0252849, 1000.49, 9383.96
-0.500621, 0.0252472, 0.649278, -0.000882988, -0.00122423, -0.0184028, 0.0184646, 1000.71, 8913.71
-0.500822, 0.0252061, 0.700974, -0.000596258, -0.00115749, -0.0188355, 0.0188805, 1000.21, 8343.88
-0.501025, 0.0250427, 0.753354, -0.00287702, -0.000407328, -0.00958895, 0.0100195, 1000.78, 7887.63
-0.501285, 0.0249117, 0.806491, -0.00319382, 0.00264015, -0.00995664, 0.0107845, 999.899, 7264.56
-0.501729, 0.0245455, 0.861063, -0.0168056, 0.00548931, 0.012017, 0.0213769, 1001.02, 6910.29
-0.502894, 0.0244714, 0.918082, -0.0158094, 0.0175113, 0.0287331, 0.0371776, 1000.47, 6290.88
