Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0.0205,8.03143e-08,-0.00375307,2.5,1,0.000338986,1.98965e-06,-7.85908e-05,-1.68626e-05,-0.391464,-0.000500295,0,0,-3.68767,1.27929e-11,4.92305e-08,0
0.021,7.13304e-08,-0.00395133,2.5,1,0.000345614,2.13326e-06,-8.48266e-05,-1.90547e-05,-0.401569,-0.000510725,0,0,-3.68768,1.35058e-11,4.92306e-08,0
0.0215,6.12667e-08,-0.00415464,2.5,1,0.000350723,2.28067e-06,-9.09317e-05,-2.11945e-05,-0.411638,-0.000520602,0,0,-3.68768,1.4183e-11,4.92306e-08,0
0.022,5.01446e-08,-0.00436297,2.49999,1,0.000354315,2.43204e-06,-9.68852e-05,-2.3282e-05,-0.42167,-0.000529946,0,0,-3.68768,1.48225e-11,4.92307e-08,0
0.0225,3.7992e-08,-0.0045763,2.49999,1,0.000356402,2.58748e-06,-0.000102639,-2.53125e-05,-0.431665,-0.000538808,0,0,-3.68768,1.54203e-11,4.92307e-08,0
0.023,2.4853e-08,-0.00479462,2.49999,1,0.000356996,2.74707e-06,-0.000108144,-2.72211e-05,-0.441621,-0.000547143,0,0,-3.68769,1.59711e-11,4.92307e-08,0
0.0235,1.07845e-08,-0.00501792,2.49999,1,0.000356109,2.91097e-06,-0.000113355,-2.90358e-05,-0.451539,-0.000554964,0,0,-3.68769,1.64712e-11,4.92308e-08,0
0.024,-4.16679e-09,-0.00524616,2.49999,1,0.000353705,3.07933e-06,-0.000118189,-3.07358e-05,-0.461419,-0.000562303,0,0,-3.68769,1.69114e-11,4.92308e-08,0
0.0245,-1.98543e-08,-0.00547933,2.49999,1,0.000347863,3.25484e-06,-0.00012154,-3.18982e-05,-0.471265,-0.000568598,0,0,-3.68769,1.71543e-11,4.92308e-08,0
0.025,-3.59506e-08,-0.00571742,2.49999,1,0.000337579,3.43884e-06,-0.000122792,-3.23783e-05,-0.481072,-0.000573443,0,0,-3.68769,1.71241e-11,4.92308e-08,0
0.0255,-5.21168e-08,-0.00596039,2.49999,1,0.000322898,3.63139e-06,-0.000121917,-3.21753e-05,-0.490838,-0.000576875,0,0,-3.68769,1.68191e-11,4.92308e-08,0
0.026,-6.80129e-08,-0.00620825,2.49999,1,0.000303861,3.83246e-06,-0.000118906,-3.12953e-05,-0.500563,-0.00057894,0,0,-3.68769,1.62385e-11,4.92308e-08,0
0.0265,-8.33014e-08,-0.00646095,2.49999,1,0.000280507,4.04214e-06,-0.000113747,-2.97478e-05,-0.510246,-0.000579624,0,0,-3.68769,1.53824e-11,4.92308e-08,0
0.027,-9.76478e-08,-0.00671848,2.49999,1,0.000252878,4.26051e-06,-0.000106431,-2.75273e-05,-0.519887,-0.000578991,0,0,-3.68769,1.42497e-11,4.92308e-08,0
0.0275,-1.10715e-07,-0.00698083,2.49999,1,0.000221013,4.48768e-06,-9.69481e-05,-2.46231e-05,-0.529485,-0.000577085,0,0,-3.68769,1.2841e-11,4.92308e-08,0
0.028,-1.22158e-07,-0.00724796,2.49999,1,0.000184955,4.72389e-06,-8.52874e-05,-2.10387e-05,-0.53904,-0.000573937,0,0,-3.68769,1.11553e-11,4.92308e-08,0
0.0285,-1.31644e-07,-0.00751986,2.49999,1,0.000144747,4.9694e-06,-7.1434e-05,-1.67984e-05,-0.548551,-0.000569574,0,0,-3.68769,9.19187e-12,4.92308e-08,0
0.029,-1.38849e-07,-0.00779651,2.49999,1,0.000100645,5.22496e-06,-5.54029e-05,-1.19255e-05,-0.558021,-0.000564115,0,0,-3.68769,6.95592e-12,4.92308e-08,0
0.0295,-1.4347e-07,-0.00807788,2.49999,1,5.33878e-05,5.49222e-06,-3.73011e-05,-6.47349e-06,-0.567446,-0.000557778,0,0,-3.68769,4.46882e-12,4.92308e-08,0
0.03,-1.45263e-07,-0.00836394,2.49999,1,3.2346e-06,5.76694e-06,-1.73859e-05,-6.22402e-07,-0.576822,-0.000550679,0,0,-3.68769,1.76026e-12,4.92308e-08,0
0.0305,-1.44008e-07,-0.00865469,2.49999,1,-4.93154e-05,6.04607e-06,4.02539e-06,5.7208e-06,-0.586136,-0.000542962,0,0,-3.68769,-1.13169e-12,4.92309e-08,0
0.031,-1.3945e-07,-0.00895007,2.49999,1,-0.000102649,6.33201e-06,2.63641e-05,1.24842e-05,-0.595388,-0.000535033,0,0,-3.68769,-4.12666e-12,4.92309e-08,0
0.0315,-1.31484e-07,-0.00925007,2.49999,1,-0.000153383,6.62842e-06,4.83492e-05,1.93064e-05,-0.604609,-0.00052705,0,0,-3.68769,-7.04783e-12,4.92309e-08,0
0.032,-1.2026e-07,-0.00955467,2.49999,1,-0.000200598,6.93448e-06,6.95271e-05,2.55383e-05,-0.613779,-0.00052104,0,0,-3.68769,-9.83677e-12,4.92309e-08,0
0.0325,-1.05999e-07,-0.00986384,2.49999,1,-0.000244268,7.24973e-06,8.98268e-05,3.14537e-05,-0.6229,-0.000516193,0,0,-3.68769,-1.24868e-11,4.92309e-08,0
0.033,-8.88604e-08,-0.0101776,2.49999,1,-0.000284433,7.57362e-06,0.000109213,3.7046e-05,-0.631971,-0.00051248,0,0,-3.68769,-1.49941e-11,4.92309e-08,0
