x,y,z,absv,wx,wy,wz
71.3992,-83.1613,-9.98413,22.3223,0.0150926,5.68735,1.72153
72.8986,-84.9074,-1.75442,21.4084,1.12405,-13.8524,-5.09786
71.5982,-87.734,-6.08676,13.9116,12.3504,-17.6774,-0.206847
71.3636,-85.1014,-10.2277,28.0402,-1.24974,23.2535,-1.76543
71.3661,-88.2688,-9.41883,25.351,-1.27266,0.719811,8.94144
71.4304,-82.1369,-0.16851,20.3012,-6.8809,8.13902,-11.7733
71.4195,-83.8074,1.35636,23.4413,-0.28068,-8.49068,8.38545
71.4176,-89.6684,-5.34785,26.7659,-10.6537,0.877165,4.45201
71.3331,-82.6475,-5.88581,22.7713,-1.73102,5.20706,6.95186
71.3585,-88.9816,-7.59318,19.3612,17.3572,-4.54351,13.2089
71.4087,-86.4488,-8.83889,28.7618,-0.785138,-6.13347,-2.88196
71.4641,-80.7188,3.8039,29.6521,6.04154,6.67956,-7.37055
71.2809,-79.3059,-34.6256,11.5577,-113.256,-69.7105,-20.6322
71.3559,-80.2031,-26.2534,25.6215,-11.485,8.30159,-14.6381
71.3318,-79.676,-45.7149,19.4988,55.3918,-54.268,-2.26411
71.3019,-81.1913,-30.6296,6.48505,-6.09205,-35.8744,-11.6647
71.3178,-80.5471,-40.3416,15.2721,-32.3263,21.3602,56.5606
71.3324,-77.0421,-49.0864,21.2233,-27.0946,-29.0622,20.6547
71.3661,-76.6866,-27.6594,15.046,16.3717,-21.071,-30.6158
71.2211,-78.8576,-22.1983,14.3733,-21.2762,-21.6917,-0.687901
71.3292,-74.9074,-20.8611,16.5699,-2.0673,-5.3536,2.44353
71.3795,-80.8638,-22.0305,21.2641,-11.1396,35.2637,-27.6015
71.3725,-77.891,-35.952,25.1776,31.2696,-68.3343,-19.6758
71.2733,-79.5539,-42.0706,18.2461,65.3996,-16.6493,-30.2462
71.3305,-77.8287,-42.9551,33.0544,18.0115,-40.7942,-19.9423
71.4145,-76.9264,-14.8029,24.6833,-1.11932,3.67292,13.9124
71.2498,-76.0126,-36.2147,21.1188,-17.3109,-17.5731,-2.32404
71.3547,-76.721,-17.1258,15.1509,5.1409,-13.5792,-5.04816
